doc_id,chunk_id,chunk_index,idioma,texto_analise,n_palavras,source_filename_hash,collection_batch,mes,ano,projeto,pais,marca_foco,publico,tipo_sessao,canal_origem
doc_981214beda5a6637,doc_981214beda5a6637_ch_0015,15,pt,"as lojas e ele já tinha ido fazer pré-trabalho antes, então ele já sabia onde ele queria ir E aí ele 
falou que ele já tinha ido lá durante a semana, e aí a gente entrou com ele na Besni, ele entrou, ele olhou o que 
estava na vitrine, ele queria comprar uma sapatilha, e olhou naqueles totens que estavam na frente, tipo, ele não 
entrou, tinha mais opções para trás, mas ele não entrou, ele foi ali na vitrine, olhou no totem da frente e já saiu, e 
ali ele não foi abordado por ninguém. Aí a gente foi na pontal, quando a gente entrou na pontal, ele fez a mesma 
coisa, ele foi direto na vitrine, só que ali ele já foi abordado por alguém. 
 
 
 
 
 
Speaker 3 - 27:59
 
 E aí a pessoa se apresentou tudo, perguntou o que ele estava procurando, ele falou queria dar uma olhada nas 
sapatilhas, aí ela perguntou, mas para quem é o presente? 
 
 
 
 
 
Speaker 3 - 28:09
 
 Aí ele falou pra minha mãe, ela já é senhora e tal, eu queria alguma coisa confortável Aí ele soltou pouco mais, 
sabe, do desejo dele E aí a gente até coloca a importância da vendedora nessa questão E aí ele pergunta pra ela 
qual que sai mais, qual que vende mais E aí ela mostra, enfim, aí ele fala, então eu quero ver",230,191761518580e2398e3b,v2,maio,None,natura_3cs,nao_inferido,natura,nao_inferido,nao_inferido,m4a
doc_ca13ed7a8ce3eb34,doc_ca13ed7a8ce3eb34_ch_0032,32,pt,"gundo nomezinho dele, informando qual foi a edição dele. É por isso 
que a gente sempre fala tradicional, porque é o primeiro. 
 
 
 
 
 
Speaker 2 - 52:36
 
 Tradicional significa primeiro, né? Para qualquer marca, você acha que é assim que funciona? 
 
 
 
 
Speaker 1 - 52:40
 
 Sim, a mesma coisa no alboticário Malbec. O Malbec no alboticário, ele é só o nome, só tem o nome Malbec. Aí 
vem o Malbec vinho, o Malbec estilo, alguma coisa do tipo. Ele sempre coloca segundo nome, porque foi a partir 
da primeira essência que eles fizeram que ficou criando outras notas de perfumaria. 
 
 
 
 
 
Speaker 2 - 53:05
 
 Entendi. Me conta pouco, já aproveitando que você comentou sobre essencial, depois a gente fala sobre outras 
marcas e tal, para a gente entender pouco. Por que essa coisa do essencial, que você comentou logo de cara? O 
que significa essa marca no seu dia a dia para você? É porque ele é o carro-chefe. 
 
 
 
 
Speaker 1 - 53:36
 
 Depois deles vem o caiaque, que é sempre os dois que a gente oferece em forma. Porque, independente da 
estação, independente do mês, do dia, seja lá qual for, ele sai, mesmo ele estando em promoção ou não. Por ele já 
ser conhecido, ele se",208,cef115eec5b2f1b1d7b2,v2,agosto,None,3cs_perfumes,nao_inferido,nao_inferido,lideres,entrevista_em_profundidade,m4a
doc_52108ac94ef635f9,doc_52108ac94ef635f9_ch_0036,36,pt,"- 43:41
 
Meeting Title: EP12_Consultora_3Cs.m4a Meeting created at: 20th Mar, 2026 - 3:09 PM
29 / 44
 
 Entendeu? Igual essa amostra do... Os três o quê? Desculpa, Pri, conta para a gente direitinho. Quais são as 
amostras? 
 
 
 
 
 
Speaker 2 - 43:52
 
 Dos três, da parte da perfumaria, Entendeu? E dessa linha do shampoo, condicionador... Espera aí, só momento. 
 
 
 
 
 
Speaker 3 - 44:08
 
 Igual. 
 
 
 
 
 
Speaker 2 - 44:17
 
 Assim, ó... As amostras, entendeu? As meninas gostam muito porque elas levam para a academia, entendeu? 
Então, assim, deixa eu ver, aqui é a questão de quantos ml, 15? Eu acho que a Natura deveria fazer, por exemplo, o 
dobro, vai 20 ml, que ficaria preço com e que ela usa praticamente diariamente. Não que ela use todos os dias, 
né? Não que ela use todos os dias, mas... 
 
 
 
 
 
Speaker 3 - 44:58
 
 Essa que você mostrou, você comprou ou você ganhou, Fri? 
 
 
 
 
 
Speaker 2 - 45:01
 
 Oi? 
 
 
 
 
Speaker 3 - 45:03
 
Meeting Title: EP12_Consultora_3Cs.m4a Meeting created at: 20th Mar, 2026 - 3:09 PM
30 / 44
 
 Essa que você mostrou, você comprou ou ganhou? 
 
 
 
 
 
Speaker 2 - 45:06
 
 Não, essa daí eu ganhei. Entendeu? 
 
 
 
 
 
Speaker 3 -",194,7aa6003a15acfc2a26d2,v2,maio,None,natura_3cs,nao_inferido,natura,consultoras,nao_inferido,m4a
doc_d2d8ffad5d07749d,doc_d2d8ffad5d07749d_ch_0104,104,es,"Speaker 7 - 01:46:29
 
 Bueno, me gusta porque no se pone en un tono muy oscuro, un tono clarito, traen como que la gama que puede 
haber dentro de esos dos tonos y además que el maquillaje se ve natural, no se ve así como que te pusiste mucho 
maquillaje y eso que tiene la tecnología oxígeno es para que nuestra piel no genere imperfecciones en 
consecuencia de que se tapan los poros por el maquillaje, entonces eso está muy bien. 
 
 
 
 
Speaker 1 - 01:46:57
 
 Y eso tiene que ver con la pregunta Pau, ¿Y si dejas que tu piel respire? 
 
 
 
 
 
Speaker 7 - 01:47:04
 
 Sí, justamente porque le da, aparte de que nos da un aspecto bien mate y que dura este, deja que la piel no, que 
los pores, los poros de la piel no se tapen y no generen imperfecciones. 
 
 
 
 
 
Speaker 3 - 01:47:18
 
 Perfecto. 
 
 
Speaker 1 - 01:47:19
Meeting Title: Q3_Rosacea 
MEX_0404_22h00_C_2540años_Competencia.m...
Meeting created at: 18th Mar, 2026 - 10:14 PM
82 / 103
 
 Y todo eso lo ves aquí en estas imágenes. Sí, de entender todo eso en la piel de las. Perfecto, muy bien. Gracias 
Pau. Algo más que agregar de este, de esta publicidad, algo diferente que no hayamos visto las demás todo",215,c48993e0887d7daa46ca,v2,abril,None,rosacea,mexico,concorrencia,nao_inferido,nao_inferido,pdf
doc_44982372dd74c6da,doc_44982372dd74c6da_ch_0011,11,pt,"orque sou só eu de homem 
aqui. É muita mulher. Você não tem noção. É mãe, namorada, tia, é duas prima. A prima tem duas filhas que é 
prima. As dogs também é tudo fêmea. Então praticamente sou só eu de homem. 
 
 
 
 
Speaker 1 - 11:30
 
 Está rodeado de mulheres. 
 
 
 
 
 
Speaker 2 - 11:32
 
 Do lado da família. Então sim, eu fico feliz, fico satisfeito. Por sempre poder fazer alguma coisa. Para vocês terem 
uma ideia, ontem mesmo, a gente estava conversando aqui em família, porque minha tia mora no fundo da minha 
casa, e aí, às vezes eu subo lá, porque é muita mulher, às vezes eu fico meio enjoado, mas ontem eu subi lá, 
conversando de risada, aí no final da noite, de ontem, fui buscar refrigerante e comprei para cada uma barrinha de 
chocolate. Custa dois reais. Eu fui lá, comprei de uma pra cada uma e dei boa noite. Aí fiz isso pra todo mundo. 
Então, na realidade, é cotidiano que eu já tenho, já. 
 
 
 
 
 
Speaker 2 - 12:15
 
 Não vou dizer que é toda semana, mas pelo menos, às vezes, uma vez por mês, eu faço agrado pra todas elas, ou 
quando dá pra ser pra todas, é pra minha mãe e minha namorada. 
 
Meeting Title: EP2_Consumidora_3Cs.m4a Meeting created at: 20th Mar,",218,b2ac3e9027b81a5869a0,v2,maio,None,natura_3cs,nao_inferido,natura,consumidoras,nao_inferido,pdf
doc_eeb118edb6d745e0,doc_eeb118edb6d745e0_ch_0050,50,pt,"e ela falou da experimentação? Ela falou, 
gente, e ela mesmo usa muito. E ela fala, ela vai viajar, vai ver os parentes. Tipo, uma mala inteira. Ela leva só de 
produtos. 
 
 
 
 
 
Speaker 2 - 50:41
 
 E aí ela usa ela mesma também como uma amostra, né? Uma experimentação que ela tá usando, desperta ali no 
social dela, né? 
 
 
 
 
 
Speaker 3 - 50:53
 
 Muito, ela é sample ambulante. 
 
 
 
 
Speaker 1 - 50:56
 
 Ela sabe disso, e as pessoas perguntam, ela falou pra gente. 
 
 
 
 
 
Speaker 3 - 51:01
 
 Muito. E isso é engraçado, porque tem essa coisa da vaidade, entendeu? Então, realmente, assim, o ritual da 
perfumação com ela e perfumação natura com ela é, tipo... 
 
 
Speaker 2 - 51:13
Meeting Title: EP Download_3Cs 
Perfumes_Caroline_Samantha_Mario.m...
Meeting created at: 20th Mar, 2026 - 5:01 PM
25 / 30
 
 
 
 É. 
 
 
 
 
Speaker 1 - 51:13
 
 E assim, vou falar, é muito legal de ver como a parte social, tipo, a vida dela, sabe? Ela é uma construtora natura, 
ela é reconhecida por isso. Ela vai nos lugares, leva as malas dela sem vergonha, sabe? Ela, quando a gente 
chegou lá, ela, poxa, feliz da vida da gente estar lá, sabe? Quase, assim, parceiro de trabalho ali com",203,0ef37afc369ea13b953e,v2,agosto,None,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade,m4a
doc_ecbea0911b71e6fa,doc_ecbea0911b71e6fa_ch_0027,27,pt,"Speaker 3 - 27:01
 
 Hidratado, mancha, as manchas no meu corpo clareou. Sabe, ele não me deixa ruxo. O meu pé, eu tô passando no 
meu pé, se eu escrevo, e melhorou no meu pé, sabe? Eu gosto muito. Esse e aquele roxinho. O roxinho eu não uso 
mais. Mas o roxinho eu uso mais. Esse, se eu der é mais bonito. 
 
Meeting Title: DG4_Radiosa_CFs_0412_13h30.m4a Meeting created at: 13th Mar, 2026 - 10:41 AM
28 / 118
 
 
 
Speaker 1 - 27:29
 
 Por quê? 
 
 
 
 
 
Speaker 3 - 27:30
 
 Tanto que a minha, essa parte aqui do meu pé, essa parte, Tem que tomar cuidado porque fica brilhoso assim, ó. 
Meu namorado sempre fala que eu passei óleo. 
 
 
 
 
Speaker 1 - 27:43
 
 Fica brilhante a pele, mas é bom a pele ficar brilhante? 
 
 
 
 
 
Speaker 3 - 27:47
 
 Então, é que eu acho que a pele negra já é uma pele meio brilhosa, né? Olha, eu tô sem greme agora. Tá, 
 
 
 
 
Speaker 1 - 27:58
 
 Mas você tem que falar, porque depois eu vou ler, depois tem que falar. Tudo que vocês falarem do visual, eu 
preciso que vocês descrevam. 
 
 
 
 
 
Speaker 3 - 28:04
 
 Mas assim, eu acho que a pele negra já é uma pele brilhosa, já é uma pele... E aí, quando a gente passa creme, eu 
não passo por",219,3d262db337cb888f9b79,v2,dezembro,None,radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,m4a
doc_3a9c3f93806290fb,doc_3a9c3f93806290fb_ch_0001,1,pt,"Speaker 1 - 00:04
 
 Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender 
comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os 
produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta 
pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre 
diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa 
sair durante a conversa. Agora, para que você não tenha nenhuma preocupação durante o nosso bate-papo, 
escolha local confortável, com boa iluminação e sem barulhos externos que possam atrapalhar a sua atenção. 
Coloque seu aparelho em local estável e com boa conexão de internet. Também aproveite para verificar se sua 
câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
Speaker 1 - 01:06
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere, conecte-se 
novamente. Estaremos",187,1c0a0a7a56dfd99201b2,v2,outubro,None,jack_pearson,brasil,nao_inferido,nao_inferido,nao_inferido,pdf
doc_fcc334ae6da3d7f2,doc_fcc334ae6da3d7f2_ch_0007,7,pt,"ha visto isso, nunca tinha reparado, mas o que me chamou 
muito a atenção foi essa coisa do presente muito bem trabalhado, com muito destaque na loja deles. E na nossa, 
enfim, fazendo aqui todas as ressalvas, não é uma loja própria, é uma loja que tem. Já achei assim, a loja estava 
escura, sabe? Uma iluminação mais baixa, sem música, clima mais mortinho, sabe? Clima mais não tão alto 
astral. E a perfumaria com muito destaque. 
 
 
 
 
Speaker 1 - 13:27
 
 Não era a vitrine, porque acho que o foco ali do momento era o todo dia, toda noite. Mas assim, acho que estava 
ali bem representado, baita destaque. Você via que era lugar mais nobre ali da loja, a perfumaria. Item que é best-
seller nosso do varejo, bem na porta ali para trial, sabe? Para as pessoas passarem, com fita olfativa também, 
para quem quiser borrifar, que é o Natural Bem Corajo. Mas dentro ali clima mais sóbrio, com uma luz mais baixa, 
sem música, uma coisa que fica mais uma sobriedade, eu acho, e presentes muito mal trabalhado ali. Eu até 
perguntei, eu queria dar presente, né? O que é que tem de perfumaria e tal? Ela me levou num cantinho mais 
escondido da loja, numa gôndola, abriu uma gavetinha e me mostrou",216,51877c0e03e2ecaa2266,v2,agosto,None,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade,m4a
doc_4b466654cd374bdf,doc_4b466654cd374bdf_ch_0073,73,pt,"Speaker 2 - 57:37
 
 Não, mas você compara que uma empresa quando resolve ter uma fusão com a outra, isso já tá sendo estudado, 
né? Então prepara as pessoas antes, depois tu. 
 
 
 
 
Speaker 1 - 57:45
 
 Joga a informação no mercado. Essa é a função. Já tá a função mesmo. 
 
 
 
 
 
Speaker 2 - 57:47
 
Meeting Title: 
DG9_Mercato_271123_16h00_Roxa.mp3
Meeting created at: 16th Mar, 2026 - 4:52 PM
80 / 156
 Com certeza, uma fusão de uma empresa não acontece de dia pra outro, gente. O jeito que aconteceu parece 
Tipo, a comprança... 
 
 
 
 
Speaker 1 - 57:55
 
 Eu disse que eu queria entender. Ficou a impressão certa? 
 
 
 
 
 
Speaker 2 - 57:58
 
 Sim, sim. 
 
 
 
 
Speaker 1 - 57:59
 
 Sabe que eu não vou, é porque. 
 
 
 
 
 
Speaker 2 - 57:59
 
 Ele já devia ter falado. Óbvio, então por que não treinou essas pessoas antes? 
 
 
 
 
Speaker 1 - 58:03
 
 Ficou uma impressão de que foi do nada. 
 
 
 
 
 
Speaker 2 - 58:05
 
 Foi. E aí tem bagunça, porque quando tu tem algo novo, normal ter bagunça. Eu volto. Demora pra ajustar. 
 
 
 
 
Speaker 1 - 58:12
 
 Eu volto. 
 
Meeting Title: 
DG9_Mercato_271123_16h00_Roxa.mp3
Meeting created at: 16th Mar, 2026 - 4:52 PM
81",195,259a68464ac6ce917c12,v2,novembro,None,mercato_brasil,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf
doc_d9b928d2f9d57ae9,doc_d9b928d2f9d57ae9_ch_0065,65,pt,"reated at: 16th Mar, 2026 - 4:35 PM
68 / 145
 
 
 
 
 
Speaker 3 - 56:14
 
 E quem está fazendo recorrentemente pedidos de avô? Eu estou pedindo, mas não está chegando. 
 
 
 
 
 
Speaker 4 - 56:25
 
 Exatamente. 
 
 
 
 
 
Speaker 3 - 56:27
 
 Mas o que a gente está pedindo? Vai, já vou. O que tá saindo? 
 
 
 
 
 
Speaker 4 - 56:30
 
 Maquiagem em casa estilo. 
 
 
 
 
 
Speaker 3 - 56:32
 
 É, maquiagem em casa estilo. 
 
 
 
 
Speaker 1 - 56:33
 
 A linha toda do Power Stay, aqueles crepes depilação que teve uma mulher que me pediu 10 e eu falei, meu Deus, 
será que isso funciona mesmo? 
 
 
Speaker 4 - 56:43
 
Meeting Title: 
DG1_Mercato_231123_14h00_COMPLEMENTO.mp3
Meeting created at: 16th Mar, 2026 - 4:35 PM
69 / 145
 
 
 Funciona. 
 
 
 
 
Speaker 1 - 56:43
 
 Aí eu fui testar. 
 
 
 
 
 
Speaker 2 - 56:45
 
 Funciona. 
 
 
 
 
Speaker 1 - 56:45
 
 Funciona divertido. 
 
 
 
 
 
Speaker 4 - 56:46
 
 Fiquei toda empolgada. 
 
 
 
 
 
Speaker 3 - 56:48
 
 Ela tá com batom, ela falou. 
 
 
 
 
Speaker 1 - 56:50
 
 Não, eu tenho também. 
 
 
 
 
Speaker 5 - 56:52
 
Meeting Title: 
DG1_Mercato_231123_14h00_COMPLEMENTO.mp3
Meeting created at: 16th Mar, 2026 - 4:35 PM
70 / 145",183,4d9d16c465e049bd3037,v2,novembro,None,mercato_brasil,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf
doc_5c06d290f301eadb,doc_5c06d290f301eadb_ch_0013,13,pt,"o da natura e o produto de qualidade 
é muito similar. E tem gente que prefere a Natura mesmo, né? Por exemplo, a linha Eco, você perder sabonete em 
barra da linha Eco se acabou, tem cliente que só quer aquele ou da linha todo dia. Então, assim, a oferta de 
produtos da Natura em relação a a esses itens de higiene pessoal melhor, mais diversificada do que a do Boticário 
com preço mais afetível, porque todo tipo tem outro em promoção. 
 
 
 
 
Speaker 1 - 15:27
 
 E como que você... Você falou pouquinho que seus clientes são pessoas ou da região ou como foram indicados, 
mas assim, me fala pouquinho como você define o perfil, assim, dos seus clientes hoje? 
 
 
 
 
 
Speaker 2 - 15:40
 
 Olha, eu tenho perfil totalmente feminino, não tenho cliente masculino, só meu marido. Mas é totalmente 
feminino, e normalmente mulheres de [IDADE] anos para cima. 
 
 
 
 
Speaker 1 - 16:02
 
 E aí você já comentou pouco do que eles costumam te procurar, o que dão de preferência em cada marca, o seu 
relacionamento com eles é digital, pelo que entendi, você faz isso via WhatsApp, via redes sociais, qual que é o 
seu principal foco, canal de comunicação com eles? 
 
 
 
 
 
Speaker 2 - 16:20",207,1609c3fcac4357aea173,v2,maio,None,natura_3cs,nao_inferido,natura,consultoras,nao_inferido,m4a
doc_9ed820073ce06c76,doc_9ed820073ce06c76_ch_0092,92,pt,"se daí, mas... É outra coisa também assim que é o menos importante pra mim, 
sinceramente. 
 
 
 
 
 
Speaker 2 - 01:40:50
 
 Bom, deixa eu falar uma coisa agora, 
 
 
 
 
 
Speaker 4 - 01:40:53
 
 Depois eu quero ver a reação dos comentários dela. 
 
 
 
 
 
Speaker 2 - 01:40:55
 
Meeting Title: Q2_Biome_1104_14h30.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
67 / 98
 Eu queria que vocês me falassem dessa embalagem externa aqui, ó. 
 
 
 
 
Speaker 3 - 01:40:59
 
 Bonita. 
 
 
 
 
 
Speaker 2 - 01:41:01
 
 Vamos falar o que ela tá passando, o que ela tá transmitindo. 
 
 
 
 
 
Speaker 7 - 01:41:06
 
 Pra mim ela tá parecendo ser de plástico e eu não compraria. 
 
 
 
 
 
Speaker 2 - 01:41:11
 
 Ela não é reciclável. 
 
 
 
 
Speaker 5 - 01:41:12
 
 Não, ela não é reciclável. 
 
 
 
 
 
Speaker 7 - 01:41:14
 
 Olhando assim, parece de concha. 
 
 
 
 
Speaker 2 - 01:41:16
 
Meeting Title: Q2_Biome_1104_14h30.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
68 / 98
 
 Aqui não está mostrando, mas tem texto que explica que ela não é reciclável. 
 
 
 
 
Speaker 5 - 01:41:21
 
 Sim, sim. 
 
 
 
 
 
Speaker 2 - 01:41:22
 
 É o pessoal. 
 
 
 
 
Speaker 5 - 01:41:24
 
 Eu",197,612b6b60de6e532a1a4b,v2,abril,None,biome,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf
doc_b6fd5d628bb2710e,doc_b6fd5d628bb2710e_ch_0124,124,pt,"o T1. 
 
 
 
 
 
Speaker 2 - 01:31:54
 
 Tudo código, né? 
 
 
 
 
Speaker 1 - 01:31:56
 
 Tudo código. Eu quero ter muita coisa, né? Senão você fica doido. Vou escrever sobre isso e falar sobre isso. Esse 
é o T1. 
 
 
 
 
 
Speaker 2 - 01:32:07
 
 Não gostei, não? Não gostei. Mas a única coisa que tá diferente basicamente é o refil. 
 
 
 
 
Speaker 4 - 01:32:13
 
Meeting Title: DG6_Anima_0712_10h00 .mp3 Meeting created at: 18th Mar, 2026 - 4:40 PM
161 / 205
 
 Eu acho que os outros parecem uma garrafinha de cerveja. 
 
 
 
 
Speaker 1 - 01:32:16
 
 Só o refil é diferente. Parece garrafinha de cerveja. 
 
 
 
 
 
Speaker 2 - 01:32:21
 
 E essa máscara tá muito... O da máscara tá muito feio. 
 
 
 
 
Speaker 1 - 01:32:25
 
 É? Máscara muito feia. 
 
 
 
 
 
Speaker 2 - 01:32:28
 
 Tipo, me dá .. 
 
 
 
 
Speaker 1 - 01:32:30
 
 O que é isso? 
 
 
 
 
 
Speaker 2 - 01:32:31
 
 Tá. 
 
 
 
 
Speaker 1 - 01:32:32
 
 Bom, já ouvi que vocês não gostaram, mas não tinha que perguntar. 
 
Meeting Title: DG6_Anima_0712_10h00 .mp3 Meeting created at: 18th Mar, 2026 - 4:40 PM
162 / 205
 
 
 
 
 
Speaker 4 - 01:32:35
 
 Só seria legal gostar de parecer uma garrafinha de cerveja se fosse",201,15a49e392401c8e8c250,v2,dezembro,None,anima,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf
doc_20c080a645217030,doc_20c080a645217030_ch_0015,15,pt,"108
 
 
 
 
Speaker 6 - 20:33
 
 Contaria que é uma propaganda de hidratante corporal, onde aparece, no fundo da propaganda, aparece floresta e 
fala sobre o hidratante, onde ela vai passando pelo corpo, mostrando a leveza, a maciez que aquele hidratante 
está proporcionando, e fala também dos benefícios da composição. Fala sobre o ácido hialurônico, que traz mais 
hidratação ao corpo, É, basicamente isso. 
 
 
 
 
 
Speaker 3 - 21:05
 
 Ana, como você contaria essa propaganda? 
 
 
 
 
Speaker 1 - 21:10
 
 Então, eu diria que é uma propaganda da natura, onde tá falando de hidratante corporal para o humano, onde no 
vídeo ele me transparece uma leveza, onde ele mostra autocuidado com no movimento do vidro e que o Tucumã 
ele ajuda a produzir o ácido hialurônico do corpo dando uma hidratação mais intensa. 
 
 
 
 
 
Speaker 3 - 21:38
 
 E que cês acharam dessa propaganda? Uma atenção de vocês. O que ficou aí para vocês depois de terem 
assistido? Luana, me conta pouquinho. 
 
 
 
 
 
Speaker 2 - 21:55
 
 Eu gostei. Eu gostei da vontade, apesar de ser de produto que é tão distante, que a gente nem conhece, que é o 
Tucumã, vem derivado disso, dá uma curiosidade. Eu acho que dá uma",197,65b88f374ba2e7f909ac,v2,abril,None,rosacea,brasil,natura,nao_inferido,nao_inferido,pdf
doc_047d9aa2d7261b26,doc_047d9aa2d7261b26_ch_0089,89,pt,"em lembro como foi. Agora tudo apagou também. 
 
 
 
 
Speaker 1 - 01:20:37
 
 Alguém lembra? Como é que vocês foram avisadas? 
 
 
 
 
 
Speaker 2 - 01:20:40
 
 Eu acho que foi a minha amiga. 
 
 
 
 
 
Speaker 5 - 01:20:43
 
 Que me falou que eu tava mudando. 
 
 
 
 
Speaker 1 - 01:20:46
 
 Ela me enviou uma mensagem. 
 
 
 
 
Speaker 2 - 01:20:49
 
Meeting Title: DG3_Mercato_211123_14h00.mp3 Meeting created at: 16th Mar, 2026 - 4:38 PM
106 / 156
 
 Não, ela me enviou uma mensagem de vídeo. Ela falou pra mim, olha, sinto informá-la, mas não vou poder. 
 
 
 
 
Speaker 1 - 01:20:56
 
 Ela começou assim, sinto informá-la. 
 
 
 
 
 
Speaker 2 - 01:20:58
 
 Mas você vai estar mudando de setor. A partir de agora eu não vou poder ser mais a sua amiga. Mas aí eu pensei 
que eu ia ficar com a gerente, né? Pensei que o povo já tinha mudado. 
 
 
 
 
Speaker 1 - 01:21:12
 
 Entendeu, tô, vou em mídia. Ela começou, sinto te informar que não vou mais te atender. 
 
 
 
 
 
Speaker 6 - 01:21:16
 
 É, eu acho que foi assim. 
 
 
 
 
Speaker 1 - 01:21:18
 
 Eu não lembro. 
 
 
 
 
 
Speaker 2 - 01:21:19
 
 Eu sei que a história foi tão traumática pra mim que eu não... Se você falar pra mim",213,df2710466654cdc4c28e,v2,novembro,None,mercato_brasil,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf
