doc_id,chunk_id,chunk_index,texto_analise,texto_normalizado_para_duplicidade
doc_9ed820073ce06c76,doc_9ed820073ce06c76_ch_0001,1,"Speaker 1 - 00:16
 
 Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender 
comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os 
produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta 
pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre 
diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa 
sair durante a conversa. Agora, para que você não tenha nenhuma preocupação durante o nosso bate-papo, 
escolha local confortável, com boa iluminação e sem barulhos externos que possam atrapalhar a sua atenção. 
Coloque seu aparelho em local estável e com boa conexão de internet. Também aproveite para verificar se sua 
câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
Speaker 1 - 01:18
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão falhe, não se desespere, conecte-
se novamente. Estaremos",speaker 0 0 0 ola tudo bem que bom ver voce por aqui nos somos akira uma empresa dedicada a entender comportamentos necessidades e desejos das pessoas assim ajudamos diferentes marcas a melhorarem os produtos servicos e experiencias que oferecem aos seus consumidores por isso voce e a figura principal nesta pesquisa estamos animados pela nossa conversa e curiosos para saber o que voce tem a nos contar sobre diferentes assuntos antes de comecar aproveite para pegar uma agua e ir ao banheiro assim voce nao precisa sair durante a conversa agora para que voce nao tenha nenhuma preocupacao durante o nosso bate papo escolha local confortavel com boa iluminacao e sem barulhos externos que possam atrapalhar a sua atencao coloque seu aparelho em local estavel e com boa conexao de internet tambem aproveite para verificar se sua camera e seu audio estao funcionando corretamente speaker 0 0 0 se tudo estiver ok basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando lembre se de manter sua camera sempre aberta durante toda a conversa caso sua conexao falhe nao se desespere conecte se novamente estaremos
doc_a11e5233b2bda4e2,doc_a11e5233b2bda4e2_ch_0001,1,"Speaker 1 - 00:12
 
 Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender 
comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os 
produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta 
pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre 
diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa 
sair durante a conversa. Agora, para que você não tenha nenhuma preocupação durante o nosso bate-papo, 
escolha local confortável, com boa iluminação e sem barulhos externos que possam atrapalhar a sua atenção. 
Coloque seu aparelho em local estável e com boa conexão de internet. Também aproveite para verificar se sua 
câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
Speaker 1 - 01:14
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere, conecte-se 
novamente. Estaremos",speaker 0 0 0 ola tudo bem que bom ver voce por aqui nos somos akira uma empresa dedicada a entender comportamentos necessidades e desejos das pessoas assim ajudamos diferentes marcas a melhorarem os produtos servicos e experiencias que oferecem aos seus consumidores por isso voce e a figura principal nesta pesquisa estamos animados pela nossa conversa e curiosos para saber o que voce tem a nos contar sobre diferentes assuntos antes de comecar aproveite para pegar uma agua e ir ao banheiro assim voce nao precisa sair durante a conversa agora para que voce nao tenha nenhuma preocupacao durante o nosso bate papo escolha local confortavel com boa iluminacao e sem barulhos externos que possam atrapalhar a sua atencao coloque seu aparelho em local estavel e com boa conexao de internet tambem aproveite para verificar se sua camera e seu audio estao funcionando corretamente speaker 0 0 0 se tudo estiver ok basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando lembre se de manter sua camera sempre aberta durante toda a conversa caso sua conexao fale nao se desespere conecte se novamente estaremos
doc_813751e4679e395b,doc_813751e4679e395b_ch_0001,1,"Speaker 1 - 00:16
 
 Olá, tudo bem? Que bom ver você por aqui! Nós somos Akira, uma empresa dedicada a entender 
comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os 
produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta 
pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre 
diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa 
sair durante a conversa. Agora, para que você não tenha nenhuma preocupação durante o nosso bate-papo, 
escolha local confortável, com boa iluminação e sem barulhos externos que possam atrapalhar a sua atenção. 
Coloque seu aparelho em local estável e com boa conexão de internet. Também aproveite para verificar se sua 
câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
Speaker 1 - 01:18
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere, conecte-se 
novamente. Estaremos",speaker 0 0 0 ola tudo bem que bom ver voce por aqui nos somos akira uma empresa dedicada a entender comportamentos necessidades e desejos das pessoas assim ajudamos diferentes marcas a melhorarem os produtos servicos e experiencias que oferecem aos seus consumidores por isso voce e a figura principal nesta pesquisa estamos animados pela nossa conversa e curiosos para saber o que voce tem a nos contar sobre diferentes assuntos antes de comecar aproveite para pegar uma agua e ir ao banheiro assim voce nao precisa sair durante a conversa agora para que voce nao tenha nenhuma preocupacao durante o nosso bate papo escolha local confortavel com boa iluminacao e sem barulhos externos que possam atrapalhar a sua atencao coloque seu aparelho em local estavel e com boa conexao de internet tambem aproveite para verificar se sua camera e seu audio estao funcionando corretamente speaker 0 0 0 se tudo estiver ok basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando lembre se de manter sua camera sempre aberta durante toda a conversa caso sua conexao fale nao se desespere conecte se novamente estaremos
doc_d42528cd9f4f9278,doc_d42528cd9f4f9278_ch_0001,1,"Speaker 1 - 00:17
 
 Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender 
comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os 
produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta 
pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre 
diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa 
sair durante a conversa. Agora, para que você não tenha nenhuma preocupação durante o nosso bate-papo, 
escolha local confortável, com boa iluminação e sem barulhos externos que possam atrapalhar a sua atenção. 
Coloque seu aparelho em local estável e com boa conexão de internet. Também aproveite para verificar se sua 
câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
Speaker 1 - 01:19
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere, conecte-se 
novamente. Estaremos",speaker 0 0 0 ola tudo bem que bom ver voce por aqui nos somos akira uma empresa dedicada a entender comportamentos necessidades e desejos das pessoas assim ajudamos diferentes marcas a melhorarem os produtos servicos e experiencias que oferecem aos seus consumidores por isso voce e a figura principal nesta pesquisa estamos animados pela nossa conversa e curiosos para saber o que voce tem a nos contar sobre diferentes assuntos antes de comecar aproveite para pegar uma agua e ir ao banheiro assim voce nao precisa sair durante a conversa agora para que voce nao tenha nenhuma preocupacao durante o nosso bate papo escolha local confortavel com boa iluminacao e sem barulhos externos que possam atrapalhar a sua atencao coloque seu aparelho em local estavel e com boa conexao de internet tambem aproveite para verificar se sua camera e seu audio estao funcionando corretamente speaker 0 0 0 se tudo estiver ok basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando lembre se de manter sua camera sempre aberta durante toda a conversa caso sua conexao fale nao se desespere conecte se novamente estaremos
doc_6446f54127e74c2d,doc_6446f54127e74c2d_ch_0001,1,"Speaker 1 - 00:17
 
 Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender 
comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os 
produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta 
pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre 
diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa 
sair durante a conversa. Agora, para que você não tenha nenhuma preocupação durante o nosso bate-papo, 
escolha local confortável, com boa iluminação e sem barulhos externos que possam atrapalhar a sua atenção. 
Coloque seu aparelho em local estável e com boa conexão de internet. Também aproveite para verificar se sua 
câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
Speaker 1 - 01:19
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere, conecte-se 
novamente. Estaremos",speaker 0 0 0 ola tudo bem que bom ver voce por aqui nos somos akira uma empresa dedicada a entender comportamentos necessidades e desejos das pessoas assim ajudamos diferentes marcas a melhorarem os produtos servicos e experiencias que oferecem aos seus consumidores por isso voce e a figura principal nesta pesquisa estamos animados pela nossa conversa e curiosos para saber o que voce tem a nos contar sobre diferentes assuntos antes de comecar aproveite para pegar uma agua e ir ao banheiro assim voce nao precisa sair durante a conversa agora para que voce nao tenha nenhuma preocupacao durante o nosso bate papo escolha local confortavel com boa iluminacao e sem barulhos externos que possam atrapalhar a sua atencao coloque seu aparelho em local estavel e com boa conexao de internet tambem aproveite para verificar se sua camera e seu audio estao funcionando corretamente speaker 0 0 0 se tudo estiver ok basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando lembre se de manter sua camera sempre aberta durante toda a conversa caso sua conexao fale nao se desespere conecte se novamente estaremos
doc_40a5bd913d6434d3,doc_40a5bd913d6434d3_ch_0001,1,"Speaker 1 - 00:16
 
 Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender 
comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os 
produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta 
pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre 
diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa 
sair durante a conversa. Agora, para que você não tenha nenhuma preocupação durante o nosso bate-papo, 
escolha local confortável, com boa iluminação e sem barulhos externos que possam atrapalhar a sua atenção. 
Coloque seu aparelho em local estável e com boa conexão de internet. Também aproveite para verificar se sua 
câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
Speaker 1 - 01:18
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere, conecte-se 
novamente. Estaremos",speaker 0 0 0 ola tudo bem que bom ver voce por aqui nos somos akira uma empresa dedicada a entender comportamentos necessidades e desejos das pessoas assim ajudamos diferentes marcas a melhorarem os produtos servicos e experiencias que oferecem aos seus consumidores por isso voce e a figura principal nesta pesquisa estamos animados pela nossa conversa e curiosos para saber o que voce tem a nos contar sobre diferentes assuntos antes de comecar aproveite para pegar uma agua e ir ao banheiro assim voce nao precisa sair durante a conversa agora para que voce nao tenha nenhuma preocupacao durante o nosso bate papo escolha local confortavel com boa iluminacao e sem barulhos externos que possam atrapalhar a sua atencao coloque seu aparelho em local estavel e com boa conexao de internet tambem aproveite para verificar se sua camera e seu audio estao funcionando corretamente speaker 0 0 0 se tudo estiver ok basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando lembre se de manter sua camera sempre aberta durante toda a conversa caso sua conexao fale nao se desespere conecte se novamente estaremos
doc_e6f876a11a7cffdd,doc_e6f876a11a7cffdd_ch_0001,1,"Speaker 1 - 00:18
 
 Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender 
comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os 
produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta 
pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre 
diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa 
sair durante a conversa. Agora, para que você não tenha nenhuma preocupação durante o nosso bate-papo, 
escolha local confortável, com boa iluminação e sem barulhos externos que possam atrapalhar a sua atenção. 
Coloque seu aparelho em local estável e com boa conexão de internet. Também aproveite para verificar se sua 
câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
Speaker 1 - 01:19
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere, conecte-se 
novamente. Estaremos",speaker 0 0 0 ola tudo bem que bom ver voce por aqui nos somos akira uma empresa dedicada a entender comportamentos necessidades e desejos das pessoas assim ajudamos diferentes marcas a melhorarem os produtos servicos e experiencias que oferecem aos seus consumidores por isso voce e a figura principal nesta pesquisa estamos animados pela nossa conversa e curiosos para saber o que voce tem a nos contar sobre diferentes assuntos antes de comecar aproveite para pegar uma agua e ir ao banheiro assim voce nao precisa sair durante a conversa agora para que voce nao tenha nenhuma preocupacao durante o nosso bate papo escolha local confortavel com boa iluminacao e sem barulhos externos que possam atrapalhar a sua atencao coloque seu aparelho em local estavel e com boa conexao de internet tambem aproveite para verificar se sua camera e seu audio estao funcionando corretamente speaker 0 0 0 se tudo estiver ok basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando lembre se de manter sua camera sempre aberta durante toda a conversa caso sua conexao fale nao se desespere conecte se novamente estaremos
doc_fbdf5e17373e8de3,doc_fbdf5e17373e8de3_ch_0001,1,"Speaker 1 - 00:04
 
 Olá, tudo bem? 
 
 
 
 
 
Speaker 2 - 00:05
 
 Que bom ver você por aqui! Nós somos Akira, uma empresa dedicada a entender comportamentos, necessidades 
e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os produtos, serviços e experiências 
que oferecem aos seus consumidores. Por isso, você é a figura principal nesta pesquisa. Estamos animados pela 
nossa conversa e curiosos para saber o que você tem a nos contar sobre diferentes assuntos. Antes de começar, 
aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa sair durante a conversa. Agora, para que 
você não tenha nenhuma preocupação durante o nosso bate-papo, escolha local confortável, com boa iluminação 
e sem barulhos externos que possam atrapalhar a sua atenção. Coloque seu aparelho em local estável e com boa 
conexão de internet. Também aproveite para verificar se sua câmera e seu áudio estão funcionando corretamente. 
 
 
 
 
 
Speaker 2 - 01:06
 
 Se tudo estiver ok, basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere.",speaker 0 0 0 ola tudo bem speaker 0 0 0 que bom ver voce por aqui nos somos akira uma empresa dedicada a entender comportamentos necessidades e desejos das pessoas assim ajudamos diferentes marcas a melhorarem os produtos servicos e experiencias que oferecem aos seus consumidores por isso voce e a figura principal nesta pesquisa estamos animados pela nossa conversa e curiosos para saber o que voce tem a nos contar sobre diferentes assuntos antes de comecar aproveite para pegar uma agua e ir ao banheiro assim voce nao precisa sair durante a conversa agora para que voce nao tenha nenhuma preocupacao durante o nosso bate papo escolha local confortavel com boa iluminacao e sem barulhos externos que possam atrapalhar a sua atencao coloque seu aparelho em local estavel e com boa conexao de internet tambem aproveite para verificar se sua camera e seu audio estao funcionando corretamente speaker 0 0 0 se tudo estiver ok basta deixar seu microfone no silencioso enquanto outra pessoa estiver falando lembre se de manter sua camera sempre aberta durante toda a conversa caso sua conexao fale nao se desespere
doc_fbdf5e17373e8de3,doc_fbdf5e17373e8de3_ch_0002,2,"nquanto outra pessoa estiver falando. Lembre-se de 
manter sua câmera sempre aberta durante toda a conversa. Caso sua conexão fale, não se desespere. Conecte-se 
novamente. Estaremos esperando por você. Se não conseguir voltar, fique tranquilo. Estaremos em contato para 
te ajudar. Agora, se a pessoa da nossa equipe que está conduzindo a conversa tiver a sua imagem interrompida, 
aguarde que logo retomaremos. Tudo que for discutido e mostrado aqui é sigiloso. Por isso, pedimos que não 
grave nem tire prints ou fotos da tela durante o bate-papo. Agora, falta muito pouco para começar. Não se 
esqueça que estamos aqui para te ouvir, então não deixe de expressar suas opiniões verdadeiras e nem tenha 
receio de dizer o que pensa. Aqui não há certo ou errado. Por isso, aproveite e participe. Não espere ser chamado 
para falar. 
 
 
 
 
 
Speaker 2 - 02:06
 
 Sentiu vontade de dizer algo? Basta acionar o microfone e falar sem interromper outra pessoa. Prontinho, nosso 
bate-papo já vai começar. 
 
 
 
 
 
Speaker 3 - 02:23
 
 Bom, Rafaela, eu sou a [NOME], que vou conversar com você. Obrigada por ter topado fazer a pesquisa mais uma 
